scenario	weapon	angle	power	enemyHullLost	enemyShieldLost	selfHullLost	allyHullLost	enemyKills	enemyBuried	ticks	nominalAmmoCost	nominalNetCredits	toleranceN	toleranceDamaging	toleranceMeanHull	unresolved
open-42	baby_missile	32	100	28.30783753421005	0	0	0	0	0	118	0	2765	6	3	14.065721777802338	0
open-42	missile	32	100	60.38380266879226	0	0	0	0	0	116	375	4636	6	6	48.223143152957995	0
open-42	heavy_missile	28	100	100	0	0	0	1	0	111	2000	3922	6	6	85.91645570888477	0
open-42	nuke	24	100	100	0	0	0	1	0	105	12000	-5231	6	6	100	0
open-42	cluster_bomb	32	100	67.28541728544609	0	0	0	0	0	121	3333.3333333333335	2549.6666666666665	6	6	44.73070923959304	0
open-42	bouncing_betty	10	100	48.78367362857256	0	0	0	0	0	193	1200	3203	6	3	19.283258408164272	0
open-42	sandhog	20	100	40.38090066550164	0	0	0	0	0	121	3350	-2580	6	5	24.68947485016658	0
open-42	riot_bomb	26	100	46	0	0	0	0	0	108	600	-100	6	6	32.333333333333336	0
open-42	napalm	34	95	59.50000000000024	0	0	0	0	0	211	1000	4260	9	6	39.51111111111127	0
open-42	dirt_bomb	24	100	0	0	0	0	0	1	95	1000	-500	6	0	0	0
open-42	tracer	0	0	0	0	0	0	0	0	15	0.5	499.5	4	0	0	0
open-7	baby_missile	0	10	0	0	0	0	0	0	16	0	500	6	0	0	0
open-7	missile	0	15	0	0	0	0	0	0	16	375	125	6	0	0	0
open-7	heavy_missile	34	100	9.549435195320058	0	0	0	0	0	118	2000	-736	6	3	4.60676576626923	0
open-7	nuke	32	100	100	0	0	0	1	0	116	12000	-7517	6	6	67.97627357601921	0
open-7	cluster_bomb	0	10	0	0	0	0	0	0	16	3333.3333333333335	-2833.3333333333335	6	0	0	0
open-7	bouncing_betty	20	100	100	0	0	0	1	0	240	1200	7300	6	5	43.16402062847201	0
open-7	sandhog	32	100	66	0	0	0	0	0	144	3350	-2850	6	6	49.333333333333336	0
open-7	riot_bomb	0	10	0	0	0	0	0	0	16	600	-100	6	0	0	0
open-7	napalm	32	100	59.50000000000024	0	0	0	0	0	200	1000	4260	6	6	57.05000000000023	0
open-7	dirt_bomb	0	0	0	0	0	0	0	0	16	1000	-500	4	0	0	0
open-7	tracer	0	0	0	0	0	0	0	0	15	0.5	499.5	4	0	0	0
linear-42	baby_missile	32	100	20.088367319510695	0	0	0	0	0	118	0	2107	6	3	9.93800949291711	0
linear-42	missile	32	100	49.27003598536427	0	0	0	0	0	116	375	3747	6	6	35.618490840351164	0
linear-42	heavy_missile	28	100	100	0	0	0	1	0	111	2000	3922	6	6	85.91645570888477	0
linear-42	nuke	24	100	100	0	0	0	1	0	105	12000	-5231	6	6	100	0
linear-42	cluster_bomb	32	100	67.28541728544609	0	0	0	0	0	121	3333.3333333333335	2549.6666666666665	6	6	44.73070923959304	0
linear-42	bouncing_betty	10	100	48.78367362857256	0	0	0	0	0	193	1200	3203	6	3	19.283258408164272	0
linear-42	sandhog	20	100	40.38090066550164	0	0	0	0	0	121	3350	-2580	6	5	24.68947485016658	0
linear-42	riot_bomb	26	100	46	0	0	0	0	0	108	600	-100	6	6	32.333333333333336	0
linear-42	napalm	34	95	59.50000000000024	0	0	0	0	0	211	1000	4260	9	6	39.51111111111127	0
linear-42	dirt_bomb	24	100	0	0	0	0	0	1	95	1000	-500	6	0	0	0
linear-42	tracer	0	0	0	0	0	0	0	0	15	0.5	499.5	4	0	0	0
wrap-13	baby_missile	132	40	32.72372271974385	0	0	0	0	0	76	0	3118	9	8	22.7480797345269	0
wrap-13	missile	132	40	59.18918855136669	0	0	0	0	0	76	375	4860	9	9	52.688878891167285	0
wrap-13	heavy_missile	28	100	100	0	0	0	1	0	104	2000	4312	6	6	85.81311606715859	0
wrap-13	nuke	20	100	100	0	0	0	1	0	92	12000	-6933	6	6	71.62919829168366	0
wrap-13	cluster_bomb	168	40	93.11366181705594	0	0	0	0	0	45	3333.3333333333335	4615.666666666666	9	9	79.76229815363949	0
wrap-13	bouncing_betty	166	20	92.90834690066205	0	0	0	0	0	205	1200	6733	9	9	68.97504144643517	0
wrap-13	sandhog	132	30	79.71183130350865	0	0	0	0	0	106	3350	-1353	9	9	71.26526762261584	0
wrap-13	riot_bomb	38	100	39	0	0	0	0	0	127	600	-100	6	6	28.833333333333332	0
wrap-13	napalm	98	90	59.50000000000024	0	0	0	0	0	264	1000	4260	9	8	51.56666666666687	0
wrap-13	dirt_bomb	24	100	0	0	0	0	0	1	95	1000	-500	6	0	0	0
wrap-13	tracer	0	0	0	0	0	0	0	0	15	0.5	499.5	4	0	0	0
reflective-7	baby_missile	0	10	0	0	0	0	0	0	16	0	500	6	0	0	0
reflective-7	missile	0	15	0	0	0	0	0	0	16	375	125	6	0	0	0
reflective-7	heavy_missile	34	100	9.549435195320058	0	0	0	0	0	118	2000	-736	6	3	4.60676576626923	0
reflective-7	nuke	32	100	100	0	0	0	1	0	116	12000	-7517	6	6	67.97627357601921	0
reflective-7	cluster_bomb	0	10	0	0	0	0	0	0	16	3333.3333333333335	-2833.3333333333335	6	0	0	0
reflective-7	bouncing_betty	20	100	100	0	0	0	1	0	240	1200	7300	6	5	43.16402062847201	0
reflective-7	sandhog	32	100	66	0	0	0	0	0	144	3350	-2850	6	6	49.333333333333336	0
reflective-7	riot_bomb	0	10	0	0	0	0	0	0	16	600	-100	6	0	0	0
reflective-7	napalm	32	100	59.50000000000024	0	0	0	0	0	200	1000	4260	6	6	57.05000000000023	0
reflective-7	dirt_bomb	0	0	0	0	0	0	0	0	16	1000	-500	4	0	0	0
reflective-7	tracer	0	0	0	0	0	0	0	0	15	0.5	499.5	4	0	0	0
shield-7	baby_missile	0	0	0	0	0	0	0	0	16	0	500	4	0	0	0
