scenario	kit	weapon	subject	strategy	termination	subjectHull	opponentHull	shieldRemaining	subjectShots	opponentShots	spentCredits	earnedCredits	endingCredits	nominalConsumedReplacementValue	fallbacks	comparisonStatus	hullDeltaVsFire	opponentHullDeltaVsFire	cashDeltaVsFire
open-42	stock	missile	p1	fire-first	horizon	61.671414659403936	39.61619733120774	0	2	2	0	5511	13511	750	0	baseline	NA	NA	NA
open-42	stock	missile	p1	shield-first	horizon	99	100	18.463347090064133	1	2	0	500	8500	7041.666666666667	0	compared	37.328585340596064	60.38380266879226	-5011
open-42	stock	missile	p1	heavy-shield-first	horizon	99	100	138.46334709006413	1	2	0	500	8500	15375	0	compared	37.328585340596064	60.38380266879226	-5011
open-42	stock	missile	p2	fire-first	horizon	39.61619733120774	61.671414659403936	0	2	2	0	4066	12066	750	0	baseline	NA	NA	NA
open-42	stock	missile	p2	shield-first	horizon	39.61619733120774	61.671414659403936	120	1	2	0	3566	11566	7041.666666666667	0	compared	0	0	-500
open-42	stock	missile	p2	heavy-shield-first	horizon	39.61619733120774	61.671414659403936	240	1	2	0	3566	11566	15375	0	compared	0	0	-500
open-42	stock	heavy_missile	p1	fire-first	game_over	100	0	0	1	0	0	5922	13922	2000	0	baseline	NA	NA	NA
open-42	stock	heavy_missile	p1	shield-first	horizon	75	72.48404601823984	43.15651097060666	1	2	0	2701	10701	8666.666666666668	0	compared	-25	72.48404601823984	-3221
open-42	stock	heavy_missile	p1	heavy-shield-first	horizon	75	72.48404601823984	163.15651097060663	1	2	0	2701	10701	17000	0	compared	-25	72.48404601823984	-3221
open-42	stock	heavy_missile	p2	fire-first	game_over	0	100	0	0	1	0	0	8000	0	0	baseline	NA	NA	NA
open-42	stock	heavy_missile	p2	shield-first	game_over	0	100	0	0	1	0	0	8000	0	0	shield-not-executed	NA	NA	NA
open-42	stock	heavy_missile	p2	heavy-shield-first	game_over	0	100	0	0	1	0	0	8000	0	0	shield-not-executed	NA	NA	NA
open-42	stock	sandhog	p1	fire-first	horizon	100	59.61909933449836	0	2	2	0	1270	9270	3350	2	baseline	NA	NA	NA
open-42	stock	sandhog	p1	shield-first	horizon	45	100	61.979213379500145	1	2	0	500	8500	10016.666666666668	1	compared	-55	40.38090066550164	-770
open-42	stock	sandhog	p1	heavy-shield-first	horizon	45	100	181.97921337950015	1	2	0	500	8500	18350	1	compared	-55	40.38090066550164	-770
open-42	stock	sandhog	p2	fire-first	horizon	59.61909933449836	100	0	2	2	0	1000	9000	3350	2	baseline	NA	NA	NA
open-42	stock	sandhog	p2	shield-first	horizon	59.61909933449836	10.060524413847602	120	1	2	0	2815	10815	10016.666666666668	1	compared	0	-89.9394755861524	1815
open-42	stock	sandhog	p2	heavy-shield-first	horizon	59.61909933449836	10.060524413847602	240	1	2	0	2815	10815	18350	1	compared	0	-89.9394755861524	1815
open-42	depleted-30k	missile	p1	fire-first	horizon	61.671414659403936	39.61619733120774	0	2	2	1875	5511	33636	750	0	baseline	NA	NA	NA
open-42	depleted-30k	missile	p1	shield-first	horizon	99	100	18.463347090064133	1	2	21875	500	8625	7041.666666666667	0	compared	37.328585340596064	60.38380266879226	-25011
open-42	depleted-30k	missile	p1	heavy-shield-first	horizon	87	100	170.39241369107665	1	2	30000	500	500	15000	1	compared	25.328585340596064	60.38380266879226	-33136
open-42	depleted-30k	missile	p2	fire-first	horizon	39.61619733120774	61.671414659403936	0	2	2	1875	4066	32191	750	0	baseline	NA	NA	NA
open-42	depleted-30k	missile	p2	shield-first	horizon	39.61619733120774	61.671414659403936	120	1	2	21875	3566	11691	7041.666666666667	0	compared	0	0	-20500
open-42	depleted-30k	missile	p2	heavy-shield-first	horizon	39.61619733120774	100	225.84669282866017	1	2	30000	500	500	15000	1	compared	0	38.328585340596064	-31691
open-42	depleted-30k	heavy_missile	p1	fire-first	game_over	100	0	0	1	0	6000	5922	29922	2000	0	baseline	NA	NA	NA
open-42	depleted-30k	heavy_missile	p1	shield-first	horizon	75	72.48404601823984	43.15651097060666	1	2	26000	2701	6701	8666.666666666668	0	compared	-25	72.48404601823984	-23221
open-42	depleted-30k	heavy_missile	p1	heavy-shield-first	horizon	55	100	153.33934757581224	1	2	30000	500	500	15000	1	compared	-45	100	-29422
open-42	depleted-30k	heavy_missile	p2	fire-first	game_over	0	100	0	0	1	0	0	30000	0	0	baseline	NA	NA	NA
open-42	depleted-30k	heavy_missile	p2	shield-first	game_over	0	100	0	0	1	0	0	30000	0	0	shield-not-executed	NA	NA	NA
open-42	depleted-30k	heavy_missile	p2	heavy-shield-first	game_over	0	100	0	0	1	0	0	30000	0	0	shield-not-executed	NA	NA	NA
open-42	depleted-30k	sandhog	p1	fire-first	game_over	100	0	0	2	1	16750	6040	19290	6700	0	baseline	NA	NA	NA
open-42	depleted-30k	sandhog	p1	shield-first	horizon	45	100	11.96417656215803	1	2	20000	500	10500	6666.666666666667	1	compared	-55	100	-8790
open-42	depleted-30k	sandhog	p1	heavy-shield-first	horizon	45	100	131.96417656215806	1	2	30000	500	500	15000	1	compared	-55	100	-18790
