scenario	weapon	subject	policy	comparison	stockTermination	candidateTermination	stockWinner	candidateWinner	stockHull	candidateHull	stockShield	candidateShield	stockShots	candidateShots	stockCash	candidateCash	stockTicks	candidateTicks
open-42	missile	p1	fire-first	control-identical	game_over	game_over	p1	p1	61.671414659403936	61.671414659403936	0	0	3	3	17180	17180	351	351
open-42	missile	p1	held-shield-first	compared	horizon	game_over	NA	p2	46.549098579179216	0	0	0	3	3	9500	9500	522	502
open-42	missile	p2	fire-first	control-identical	game_over	game_over	p1	p1	0	0	0	0	2	2	12066	12066	351	351
open-42	missile	p2	held-shield-first	compared	game_over	game_over	p2	p2	39.61619733120774	39.61619733120774	134.83317887087995	14.833178870879955	3	3	15357	15357	550	550
open-42	heavy_missile	p1	fire-first	control-identical	game_over	game_over	p1	p1	100	100	0	0	1	1	13922	13922	111	111
open-42	heavy_missile	p1	held-shield-first	compared	game_over	game_over	p1	p1	75	75	163.15651097060663	43.15651097060666	2	2	7266	7266	450	450
open-42	heavy_missile	p2	fire-first	control-identical	game_over	game_over	p1	p1	0	0	0	0	0	0	8000	8000	111	111
open-42	heavy_missile	p2	held-shield-first	defense-not-executed	game_over	game_over	p1	p1	0	0	0	0	0	0	8000	8000	111	111
open-42	sandhog	p1	fire-first	control-identical	game_over	game_over	p1	p1	100	100	0	0	4	4	15040	15040	420	420
open-42	sandhog	p1	held-shield-first	compared	horizon	horizon	NA	NA	45	23.979503375460702	79.9304283005988	0	3	3	9500	9500	644	638
open-42	sandhog	p2	fire-first	control-identical	game_over	game_over	p1	p1	0	0	0	0	3	3	9500	9500	420	420
open-42	sandhog	p2	held-shield-first	compared	game_over	game_over	p2	p2	59.61909933449836	59.61909933449836	221.9045540627807	101.9045540627807	3	3	12620	12620	489	489
open-7	missile	p1	fire-first	control-identical	game_over	game_over	p2	p2	0	0	0	0	2	2	9000	9000	288	288
open-7	missile	p1	held-shield-first	compared	game_over	game_over	p2	p2	0	0	0	0	3	2	9500	9000	596	431
open-7	missile	p2	fire-first	control-identical	game_over	game_over	p2	p2	100	100	0	0	2	2	17000	17000	288	288
open-7	missile	p2	held-shield-first	compared	game_over	game_over	p2	p2	100	100	240	120	2	2	17000	17000	373	373
open-7	heavy_missile	p1	fire-first	control-identical	game_over	game_over	p2	p2	0	0	0	0	2	2	3764	3764	455	455
open-7	heavy_missile	p1	held-shield-first	compared	game_over	game_over	p2	p2	0	0	0	0	2	1	3000	8500	455	263
open-7	heavy_missile	p2	fire-first	control-identical	game_over	game_over	p2	p2	90.45056480467994	90.45056480467994	0	0	2	2	9480	9480	455	455
open-7	heavy_missile	p2	held-shield-first	compared	game_over	game_over	p2	p2	90.45056480467994	90.45056480467994	240	120	2	2	9320	9320	449	449
open-7	sandhog	p1	fire-first	control-identical	game_over	game_over	p2	p2	0	0	0	0	2	2	9000	9000	445	445
open-7	sandhog	p1	held-shield-first	compared	horizon	horizon	NA	NA	36	6.948485769717671	71.1018670531669	0	3	3	9500	9500	676	668
open-7	sandhog	p2	fire-first	control-identical	game_over	game_over	p2	p2	34	34	0	0	2	2	11720	11720	445	445
open-7	sandhog	p2	held-shield-first	compared	horizon	horizon	NA	NA	34	34	236.32017009415583	116.32017009415581	3	3	14779	14779	508	508
wrap-13	missile	p1	fire-first	control-identical	game_over	game_over	p1	p1	41.71684672153578	41.71684672153578	0	0	2	2	17000	17000	395	395
wrap-13	missile	p1	held-shield-first	compared	game_over	game_over	p1	p1	100	100	121.70951642707975	1.7095164270797625	2	2	17000	17000	344	344
wrap-13	missile	p2	fire-first	control-identical	game_over	game_over	p1	p1	0	0	0	0	1	1	13163	13163	395	395
wrap-13	missile	p2	held-shield-first	compared	game_over	game_over	p2	p2	40.81081144863331	40.81081144863331	121.4129678092139	1.4129678092138818	2	2	17000	17000	358	358
wrap-13	heavy_missile	p1	fire-first	control-identical	game_over	game_over	p1	p1	100	100	0	0	1	1	14312	14312	104	104
wrap-13	heavy_missile	p1	held-shield-first	compared	game_over	game_over	p1	p1	38	24.59828138557389	106.5982813855739	0	2	2	8760	8760	574	574
wrap-13	heavy_missile	p2	fire-first	control-identical	game_over	game_over	p1	p1	0	0	0	0	0	0	8000	8000	104	104
wrap-13	heavy_missile	p2	held-shield-first	defense-not-executed	game_over	game_over	p1	p1	0	0	0	0	0	0	8000	8000	104	104
wrap-13	sandhog	p1	fire-first	control-identical	game_over	game_over	p1	p1	34	34	0	0	2	2	12120	12120	432	432
wrap-13	sandhog	p1	held-shield-first	compared	game_over	game_over	p1	p1	34	34	207.0429233137021	87.0429233137021	2	2	12120	12120	390	390
wrap-13	sandhog	p2	fire-first	control-identical	game_over	game_over	p1	p1	0	0	0	0	1	1	8500	8500	432	432
wrap-13	sandhog	p2	held-shield-first	compared	game_over	game_over	p2	p2	20.288168696491354	20.288168696491354	174.11335527782504	54.113355277825036	2	2	12920	12920	548	548
